0	1
1	0
2	1
3	9
4	31
5	234
6	62
7	82
8	131
9	172
10	618
11	4166
12	29870
13	514
14	104
15	77
16	66
17	79
18	83
19	71
20	77
21	77
22	76
23	74
24	62
25	86
26	82
27	83
28	97
29	88
30	99
31	94
32	99
33	106
34	101
35	115
36	111
37	150
38	183
39	176
40	199
41	223
42	263
43	296
44	323
45	343
46	402
47	430
48	455
49	500
50	503
51	484
52	478
53	571
54	524
55	520
56	554
57	540
58	538
59	562
60	528
61	537
62	561
63	485
64	543
65	538
66	615
67	683
68	679
69	772
70	888
71	1159
72	1799
73	2841
74	4759
75	7191
76	10370
77	12022
78	11533
79	9382
80	6562
81	4288
82	2602
83	1450
84	819
85	466
86	270
87	167
88	106
89	66
90	55
91	33
92	27
93	26
94	13
95	15
96	8
97	9
98	10
99	6
100	9
101	15
102	2
103	1
104	0
105	0
106	1
107	0
108	0
109	0
110	1
111	1
112	1
113	0
114	1
115	0
116	0
117	0
118	1
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	0
131	0
132	0
133	0
134	0
135	0
136	0
137	0
138	0
139	0
140	0
141	0
142	0
143	1
144	0
145	0
146	0
147	0
148	0
149	0
150	0
151	5
152	0
153	0
154	0
155	0
156	0
157	0
158	0
159	0
160	0
161	1
162	0
163	0
164	0
165	0
166	0
167	1
168	0
169	0
170	0
171	0
172	0
173	0
174	0
175	0
176	0
177	0
178	0
179	0
180	0
181	0
182	0
183	0
184	0
185	0
186	1
187	0
188	0
189	0
190	0
191	0
192	0
193	0
194	0
195	0
196	0
197	0
198	0
199	0
200	183
