1	120	
2	319	
3	317	
4	317	
5	157	
6	296	
7	233	
8	96	
9	184	
10	208	
11	209	
12	87	
13	237	
14	140	
15	235	
16	205	
17	2843	
18	20245	
19	2962	
20	173	
21	82	
22	204	
23	129	
24	187	
25	177	
26	300	
27	92	
28	183	
29	137	
30	329	
31	272	
32	33	
33	228	
34	206	
35	237	
36	309	
37	320	
38	137	
39	230	
40	63	
41	149	
42	379	
43	136	
44	229	
45	36	
46	193	
47	148	
48	342	
49	163	
50	470	
51	279	
52	348	
53	177	
54	162	
55	164	
56	130	
57	134	
58	348	
59	348	
60	171	
61	59	
62	150	
63	82	
64	265	
65	2977	
66	20135	
67	2935	
68	126	
69	356	
70	166	
71	201	
72	-12	
73	216	
74	304	
75	288	
76	299	
77	172	
78	166	
79	293	
80	295	
81	219	
82	148	
83	169	
84	79	
85	239	
86	374	
87	239	
88	379	
89	239	
90	201	
91	137	
92	105	
93	278	
94	340	
95	286	
96	113	
97	315	
98	327	
99	155	
100	225	
